,Product_name,Product_id,Product_Category,price,Professional_Publication,Region_address,Local_address
826,Jeux Toboggan,39620511,Matériels professionnels,,pro,Grand Casablanca,Casablanca
828,j7 2016,40008087,Téléphones,,private,Grand Casablanca,Casablanca
831,apple magic trackpad mouse keyboard Réf 02YIm,40008084,Ordinateurs portables,,pro,Tanger-Tétouan,Tétouan
832,Concentrateur d'oxygène portable 5L Inogen one G3,39600483,Matériels professionnels,,pro,Grand Casablanca,Casablanca
833,MN-10 Mini traceur GPS temps réel Longue,40008082,Appareils photo et caméras,,pro,Tanger-Tétouan,Tanger
834,samsung A6,40008081,Téléphones,,private,Grand Casablanca,Casablanca
835,Concentrateur d'oxygène portable -bat 16 cellules,39907930,Autres,,pro,Fès-Boulemane,Fès
837,MS-101 Montre GPS GPS temps réel Double batterie,40008080,Accessoires informatique et gadgets,,pro,Tadla-Azilal,Afourar
838,eclirage accessoires Réf QDvt5,40008079,Appareils photo et caméras,,pro,Tanger-Tétouan,Tétouan
844,STR-01 GPS Tracker pour auto systems antivol,40008073,Appareils photo et caméras,,pro,Gharb-Chrarda-Beni Hssen,Kénitra
845,RED CINEMA PRO CAM AVEC ACCCESSOIRES  à Casablanca,40008072,Appareils photo et caméras,,pro,Grand Casablanca,Casablanca
847,SONY CAM COOME NEUF SUR PROMO Réf smHRk,40008070,Appareils photo et caméras,,pro,Marrakech-Tensift-Al Haouz,Marrakech
848,PH-17 Caméra Espion stylo MP30 HD 720P 8G,40008068,Accessoires informatique et gadgets,,pro,Tanger-Tétouan,Tanger
869,CM-26 Reveil Caméra Cachée FULL HD,40008051,Appareils photo et caméras,,pro,Gharb-Chrarda-Beni Hssen,Kénitra
897,Ps vita,40008036,Jeux vidéo et consoles,,private,Meknès-Tafilalet,Meknès
899,pièces fiat,40008030,Pièces et accessoires pour véhicules,,private,Grand Casablanca,Casablanca
904,Benq monitor,40008023,Image & son,,private,Grand Casablanca,Casablanca
906,Micro Espion GSM à Rappel Automatique -,40008021,Appareils photo et caméras,,pro,Souss-Massa-Drâa,Tiznit
909,Micro Espion GSM à Rappel Automatique -,40008021,Appareils photo et caméras,,pro,Souss-Massa-Drâa,Tiznit
913,PF-31 Porte Feuille Camera Espion 1080P avec,40008015,Appareils photo et caméras,,pro,Souss-Massa-Drâa,Agadir
919,AL-01 Mini camera espion- Micro GSM espion 009,40008009,Appareils photo et caméras,,pro,Souss-Massa-Drâa,Agadir
924,JN-31 Porte Cle caméra cachée HD 1080P,40008003,Appareils photo et caméras,,pro,Meknès-Tafilalet,Errachidia
927,Bouteille antiquité,40008000,Meubles et décoration,,private,Grand Casablanca,Casablanca
934,VN-26 Power bank Micro GSM espion,40007990,Accessoires informatique et gadgets,,pro,Meknès-Tafilalet,Meknès
935,dell,40007989,Ordinateurs portables,,private,Grand Casablanca,Casablanca
938,LI-16 Lunette Camera Espion FULL HD 1080P IP-WIFI,40007986,Accessoires informatique et gadgets,,pro,Souss-Massa-Drâa,Agadir
941,MICRO CAMERA,40007983,Matériels professionnels,,pro,Grand Casablanca,Casablanca
944,cocker espagnol pure race,40007980,Animaux,,private,Grand Casablanca,Casablanca
956,MK-21 Bouton camera espion à la mode Maroc,40007968,Appareils photo et caméras,,pro,Tanger-Tétouan,Tanger
959,P30pro/mat 20/LG/MI/Oneplus/iPhone11 pro max dual,29340494,Téléphones,,pro,Grand Casablanca,Casablanca
961,huawei p8 lite,40007964,Téléphones,,private,Grand Casablanca,Casablanca
963,TP-26 Traceur GPS localiseur GSM SOS antivol,40007961,Accessoires informatique et gadgets,,pro,Tanger-Tétouan,Tanger
966,compte free fire,40007955,Jeux vidéo et consoles,,private,DoukkalaAbda,El Jadida
970,DSL-26 Montre Caméra Espion 8Go F-HD Vision,40007950,Appareils photo et caméras,,pro,Rabat-Salé-Zemmour-Zaër,Rabat
972,AUDI A5 S LINE,40007949,Voitures,,private,Grand Casablanca,Casablanca
975,Judas numérique ecran lcd couleur 5 multifonctions,40007946,Appareils photo et caméras,,pro,Grand Casablanca,Casablanca
977,LES Afficheurs Samsung iPhone Huawei,40007944,Accessoires informatique et gadgets,,pro,Grand Casablanca,Casablanca
981,Mercedes 220 designo,39131352,Voitures,,private,Grand Casablanca,Casablanca
987,190 normal,40007934,Voitures,,private,Tadla-Azilal,Béni Mellal
1001,tts les genre sde camera canon nikon et sony à Cas,40007919,Appareils photo et caméras,,pro,Grand Casablanca,Casablanca
1003,Cnc air compresseur,40007914,Matériels professionnels,,pro,Rabat-Salé-Zemmour-Zaër,Rabat
1004,chatons,40007913,Animaux,,private,Taza-Al Hoceima-Taounate,Tamesna
1008,Cnc driver pour machine cnc,40007906,Matériels professionnels,,pro,Grand Casablanca,Casablanca
1010,Maison R plus 2 à vendre à El bassatine7 Meknès,40007902,Maisons et villas,,private,Meknès-Tafilalet,Meknès
1018,SPF-01 Mini Camera Espion FULL HD SPF,40007889,Accessoires informatique et gadgets,,pro,Marrakech-Tensift-Al Haouz,Marrakech
1020,Époque XIX superbe Table à manger victorienne,40007887,Meubles et décoration,,private,Grand Casablanca,Casablanca
1021,Mitsubishi pajero sport,40007886,Voitures,,private,Tadla-Azilal,Souk Sebt Ouled Nemma
1053,Caisse tactile offre spéciale pour les cafés,36215017,Matériels professionnels,,pro,Grand Casablanca,Casablanca
1055,Golf 6,39817982,Voitures,,private,Rabat-Salé-Zemmour-Zaër,Salé
1061,APPAREMMENT,40007873,Appartements,,private,Meknès-Tafilalet,Meknès
1062,NIKON D 7500 NEUF,40007872,Appareils photo et caméras,,pro,Tanger-Tétouan,Tanger
1079,Range Rover Vogue tdv6 Diesel WW,40007856,Voitures,,pro,Grand Casablanca,Casablanca
1084,GANT WATCH NEWA,40007850,Montres et bijoux,,pro,Rabat-Salé-Zemmour-Zaër,Rabat
1087,original giremani 39,40007846,Chaussures,,private,Grand Casablanca,Casablanca
1090,shooting accesoires,40007843,Appareils photo et caméras,,pro,Tanger-Tétouan,Tanger
1100,FESTINA MONTES,40007833,Montres et bijoux,,pro,Tanger-Tétouan,Tétouan
1102,FESTINA MONTES,40007833,Montres et bijoux,,pro,Tanger-Tétouan,Tétouan
1105,Asus N73SV I7 Double Graphique Nvidia Gt540m,40007828,Ordinateurs portables,,private,Souss-Massa-Drâa,Agadir
1106,torche cuivre CNC Nouveau,40007827,Matériels professionnels,,pro,Tanger-Tétouan,Tanger
1107,SONY CAMERAS 7A R II,40007825,Appareils photo et caméras,,pro,Rabat-Salé-Zemmour-Zaër,Rabat
1115,MICROSOFT SURFACE GO Réf dJ9Sw,40007816,Tablettes,,pro,Rabat-Salé-Zemmour-Zaër,Rabat
1120,BOYA  BY MM 1 Réf zvy2Q,40007811,Image & son,,pro,Tanger-Tétouan,Tétouan
1122,Chaises de café et restaurant,39834837,Matériels professionnels,,private,Grand Casablanca,Casablanca
1125,Samsung A20s,40007806,Téléphones,,private,Grand Casablanca,Casablanca
1129,Cnc pâtins machine,40007802,Matériels professionnels,,pro,Gharb-Chrarda-Beni Hssen,Kénitra
1132,LES Afficheurs Samsung iPhone Huawei,40007799,Accessoires informatique et gadgets,,pro,Grand Casablanca,Casablanca
1133,iphoone 11pro max,40007798,Téléphones,,pro,Tanger-Tétouan,Bab Taza
1136,Maison à Tanger,40007795,Maisons et villas,,private,Tanger-Tétouan,Tanger
1138,tableau de bord caddy,40007793,Pièces et accessoires pour véhicules,,private,Souss-Massa-Drâa,Agadir
1143,Cnc pieces de rechange,40007786,Matériels professionnels,,pro,Grand Casablanca,Casablanca
1145,GOLDLIKE WATCH NEW à Casablanca,40007784,Montres et bijoux,,pro,Grand Casablanca,Casablanca
1147,huawei cunl21,40007782,Téléphones,,private,Fès-Boulemane,Fès
